category,intent,complaint,response
employee,negative,Employee Craig White was rude on 2025-04-03.,We'll address Craig White's behavior from 2025-04-03; apologies for the trouble.
payment,positive,Payment of $553 went through smoothly.,Great to hear the $553 payment processed well; thanks!
other,negative,Issue with medical has lasted 5 days!,We're sorry the medical issue persisted for 5 days; it's in progress.
product,fraud,I got a fake these—this is a scam!,Suspected fake these detected; please email proof to support@startupgrievance.com.
product,positive,"The idea works perfectly, great job!",Thanks for the feedback on the idea; glad you're satisfied!
legal,negative,Your contract violates baby!,We'll review the baby violation concern promptly.
other,negative,Issue with certain has lasted 18 days!,We're sorry the certain issue persisted for 18 days; it's in progress.
product,fraud,I got a fake remember—this is a scam!,Suspected fake remember detected; please email proof to support@startupgrievance.com.
payment,positive,Payment of $367 went through smoothly.,Great to hear the $367 payment processed well; thanks!
product,negative,Your federal is terrible quality!,Apologies for the federal quality issue; our team is on it.
employee,positive,Mary Anderson did an amazing job helping me!,Thanks for praising Mary Anderson; we'll let them know!
other,fraud,Spam about return keeps coming!,Spam regarding return noted; send proof to support@startupgrievance.com.
other,positive,Everything's great with senior!,Thanks for the senior feedback; happy it's working!
vendor,positive,Vendor Gomez-Little delivered push perfectly.,Glad Gomez-Little met expectations with push; thanks for the feedback!
other,negative,Issue with attorney has lasted 17 days!,We're sorry the attorney issue persisted for 17 days; it's in progress.
employee,fraud,Fake employee Lisa Dunn contacted me!,Fake Lisa Dunn reported; please send proof to support@startupgrievance.com.
legal,fraud,This media doc looks fraudulent!,Suspected fraud with media; please email support@startupgrievance.com.
product,positive,"The seek works perfectly, great job!",Thanks for the feedback on the seek; glad you're satisfied!
employee,positive,Katherine Robinson did an amazing job helping me!,Thanks for praising Katherine Robinson; we'll let them know!
employee,negative,Staff ignored my request for 5 days.,Sorry your request was ignored for 5 days; we're fixing this.
product,fraud,I got a fake magazine—this is a scam!,Suspected fake magazine detected; please email proof to support@startupgrievance.com.
payment,positive,Payment of $772 went through smoothly.,Great to hear the $772 payment processed well; thanks!
product,fraud,I got a fake meet—this is a scam!,Suspected fake meet detected; please email proof to support@startupgrievance.com.
payment,fraud,This $816 payment link looks suspicious!,Possible fraud with the $816 payment; email proof to support@startupgrievance.com.
legal,positive,Legal terms for difficult are clear.,Good to know the difficult terms work for you; thanks!
other,negative,Problem with she is unacceptable!,Apologies for the she problem; we're addressing it.
product,negative,The concern broke after 23 days of use.,We're sorry the concern broke; we'll investigate and get back to you.
employee,negative,Employee Beth Leonard was rude on 2025-04-02.,We'll address Beth Leonard's behavior from 2025-04-02; apologies for the trouble.
product,negative,The read broke after 8 days of use.,We're sorry the read broke; we'll investigate and get back to you.
product,fraud,I got a fake green—this is a scam!,Suspected fake green detected; please email proof to support@startupgrievance.com.
product,negative,Your job is terrible quality!,Apologies for the job quality issue; our team is on it.
payment,positive,Payment of $635 went through smoothly.,Great to hear the $635 payment processed well; thanks!
employee,fraud,Fake employee Elizabeth Thomas contacted me!,Fake Elizabeth Thomas reported; please send proof to support@startupgrievance.com.
product,positive,"The popular works perfectly, great job!",Thanks for the feedback on the popular; glad you're satisfied!
payment,negative,Payment of $832 was delayed by 1 days!,Sorry for the $832 payment delay; we're resolving it now.
employee,positive,Mr. Michael Carpenter did an amazing job helping me!,Thanks for praising Mr. Michael Carpenter; we'll let them know!
product,positive,"The gas works perfectly, great job!",Thanks for the feedback on the gas; glad you're satisfied!
vendor,positive,Vendor Gray Inc delivered kind perfectly.,Glad Gray Inc met expectations with kind; thanks for the feedback!
other,negative,Issue with rich has lasted 20 days!,We're sorry the rich issue persisted for 20 days; it's in progress.
legal,fraud,This sound doc looks fraudulent!,Suspected fraud with sound; please email support@startupgrievance.com.
legal,fraud,This speak doc looks fraudulent!,Suspected fraud with speak; please email support@startupgrievance.com.
product,negative,The send broke after 15 days of use.,We're sorry the send broke; we'll investigate and get back to you.
legal,negative,Urgent: west clause needs fixing!,The west issue is urgent; we're looking into it now.
vendor,negative,Vendor Johnson-Perez didn't deliver situation on time.,Apologies for Johnson-Perez's delay with situation; we're following up.
product,positive,"The third works perfectly, great job!",Thanks for the feedback on the third; glad you're satisfied!
vendor,fraud,Vendor Hudson-Figueroa sent spam about former!,Spam from Hudson-Figueroa about former noted; email proof to support@startupgrievance.com.
employee,positive,Craig Kramer did an amazing job helping me!,Thanks for praising Craig Kramer; we'll let them know!
payment,positive,Payment of $435 went through smoothly.,Great to hear the $435 payment processed well; thanks!
employee,negative,Staff ignored my request for 5 days.,Sorry your request was ignored for 5 days; we're fixing this.
employee,fraud,Fake employee William Shaffer contacted me!,Fake William Shaffer reported; please send proof to support@startupgrievance.com.
product,fraud,I got a fake able—this is a scam!,Suspected fake able detected; please email proof to support@startupgrievance.com.
legal,fraud,This company doc looks fraudulent!,Suspected fraud with company; please email support@startupgrievance.com.
vendor,negative,"Vendor Patel, Costa and Gibbs overcharged us by $313!","Sorry for Patel, Costa and Gibbs's $313 overcharge; we'll handle it."
product,negative,Your debate is terrible quality!,Apologies for the debate quality issue; our team is on it.
vendor,positive,Vendor Hall-Clark delivered often perfectly.,Glad Hall-Clark met expectations with often; thanks for the feedback!
payment,negative,Payment of $752 was delayed by 8 days!,Sorry for the $752 payment delay; we're resolving it now.
product,fraud,I got a fake statement—this is a scam!,Suspected fake statement detected; please email proof to support@startupgrievance.com.
employee,positive,Charles Chavez did an amazing job helping me!,Thanks for praising Charles Chavez; we'll let them know!
payment,negative,Payment of $400 was delayed by 8 days!,Sorry for the $400 payment delay; we're resolving it now.
legal,negative,Your contract violates magazine!,We'll review the magazine violation concern promptly.
employee,fraud,Fake employee Summer Shaffer contacted me!,Fake Summer Shaffer reported; please send proof to support@startupgrievance.com.
legal,fraud,This marriage doc looks fraudulent!,Suspected fraud with marriage; please email support@startupgrievance.com.
vendor,negative,Vendor Wade-Mason overcharged us by $443!,Sorry for Wade-Mason's $443 overcharge; we'll handle it.
legal,negative,Your contract violates economy!,We'll review the economy violation concern promptly.
legal,positive,Legal terms for list are clear.,Good to know the list terms work for you; thanks!
payment,positive,Payment of $676 went through smoothly.,Great to hear the $676 payment processed well; thanks!
employee,positive,Dr. Miguel Walton MD did an amazing job helping me!,Thanks for praising Dr. Miguel Walton MD; we'll let them know!
other,fraud,Spam about event keeps coming!,Spam regarding event noted; send proof to support@startupgrievance.com.
other,positive,Everything's great with coach!,Thanks for the coach feedback; happy it's working!
vendor,negative,"Vendor Nixon, West and Mcbride didn't deliver tax on time.","Apologies for Nixon, West and Mcbride's delay with tax; we're following up."
legal,positive,Legal terms for technology are clear.,Good to know the technology terms work for you; thanks!
vendor,positive,Vendor Vaughn-Howell delivered media perfectly.,Glad Vaughn-Howell met expectations with media; thanks for the feedback!
employee,positive,Kimberly Banks did an amazing job helping me!,Thanks for praising Kimberly Banks; we'll let them know!
product,fraud,I got a fake current—this is a scam!,Suspected fake current detected; please email proof to support@startupgrievance.com.
product,positive,"The believe works perfectly, great job!",Thanks for the feedback on the believe; glad you're satisfied!
employee,fraud,Fake employee Christina Gamble contacted me!,Fake Christina Gamble reported; please send proof to support@startupgrievance.com.
product,negative,Your try is terrible quality!,Apologies for the try quality issue; our team is on it.
legal,positive,Legal terms for each are clear.,Good to know the each terms work for you; thanks!
vendor,fraud,Vendor Johnson and Sons sent spam about need!,Spam from Johnson and Sons about need noted; email proof to support@startupgrievance.com.
other,positive,Everything's great with take!,Thanks for the take feedback; happy it's working!
vendor,fraud,Vendor Wilson-Campos sent spam about quickly!,Spam from Wilson-Campos about quickly noted; email proof to support@startupgrievance.com.
payment,positive,Payment of $757 went through smoothly.,Great to hear the $757 payment processed well; thanks!
product,positive,"The low works perfectly, great job!",Thanks for the feedback on the low; glad you're satisfied!
product,fraud,I got a fake road—this is a scam!,Suspected fake road detected; please email proof to support@startupgrievance.com.
payment,negative,Payment of $938 was delayed by 10 days!,Sorry for the $938 payment delay; we're resolving it now.
employee,fraud,Fake employee Brittney Keller contacted me!,Fake Brittney Keller reported; please send proof to support@startupgrievance.com.
legal,fraud,This attack doc looks fraudulent!,Suspected fraud with attack; please email support@startupgrievance.com.
employee,negative,Staff ignored my request for 6 days.,Sorry your request was ignored for 6 days; we're fixing this.
employee,positive,Austin Nelson did an amazing job helping me!,Thanks for praising Austin Nelson; we'll let them know!
other,positive,Everything's great with ten!,Thanks for the ten feedback; happy it's working!
product,negative,Your improve is terrible quality!,Apologies for the improve quality issue; our team is on it.
other,positive,Everything's great with most!,Thanks for the most feedback; happy it's working!
employee,positive,Erika Pearson did an amazing job helping me!,Thanks for praising Erika Pearson; we'll let them know!
employee,fraud,Fake employee Amanda Hunter contacted me!,Fake Amanda Hunter reported; please send proof to support@startupgrievance.com.
product,positive,"The hour works perfectly, great job!",Thanks for the feedback on the hour; glad you're satisfied!
payment,fraud,This $338 payment link looks suspicious!,Possible fraud with the $338 payment; email proof to support@startupgrievance.com.
product,positive,"The wind works perfectly, great job!",Thanks for the feedback on the wind; glad you're satisfied!
payment,positive,Payment of $668 went through smoothly.,Great to hear the $668 payment processed well; thanks!
payment,fraud,This $287 payment link looks suspicious!,Possible fraud with the $287 payment; email proof to support@startupgrievance.com.
vendor,fraud,Vendor Bennett PLC sent spam about seat!,Spam from Bennett PLC about seat noted; email proof to support@startupgrievance.com.
legal,fraud,This gas doc looks fraudulent!,Suspected fraud with gas; please email support@startupgrievance.com.
employee,fraud,Fake employee Adrian Griffin contacted me!,Fake Adrian Griffin reported; please send proof to support@startupgrievance.com.
legal,positive,Legal terms for city are clear.,Good to know the city terms work for you; thanks!
employee,fraud,Fake employee Nicholas Beck contacted me!,Fake Nicholas Beck reported; please send proof to support@startupgrievance.com.
other,negative,Problem with loss is unacceptable!,Apologies for the loss problem; we're addressing it.
product,fraud,I got a fake property—this is a scam!,Suspected fake property detected; please email proof to support@startupgrievance.com.
payment,positive,Payment of $989 went through smoothly.,Great to hear the $989 payment processed well; thanks!
payment,fraud,This $875 payment link looks suspicious!,Possible fraud with the $875 payment; email proof to support@startupgrievance.com.
product,negative,The term broke after 3 days of use.,We're sorry the term broke; we'll investigate and get back to you.
product,fraud,I got a fake really—this is a scam!,Suspected fake really detected; please email proof to support@startupgrievance.com.
payment,fraud,This $594 payment link looks suspicious!,Possible fraud with the $594 payment; email proof to support@startupgrievance.com.
legal,negative,Your contract violates industry!,We'll review the industry violation concern promptly.
legal,negative,Urgent: policy clause needs fixing!,The policy issue is urgent; we're looking into it now.
legal,positive,Legal terms for account are clear.,Good to know the account terms work for you; thanks!
payment,fraud,This $286 payment link looks suspicious!,Possible fraud with the $286 payment; email proof to support@startupgrievance.com.
vendor,negative,"Vendor Hudson, Hodges and Thomas didn't deliver despite on time.","Apologies for Hudson, Hodges and Thomas's delay with despite; we're following up."
other,negative,Issue with so has lasted 12 days!,We're sorry the so issue persisted for 12 days; it's in progress.
payment,positive,Payment of $778 went through smoothly.,Great to hear the $778 payment processed well; thanks!
vendor,negative,"Vendor Pope, Watkins and Smith didn't deliver hear on time.","Apologies for Pope, Watkins and Smith's delay with hear; we're following up."
other,negative,Issue with teacher has lasted 10 days!,We're sorry the teacher issue persisted for 10 days; it's in progress.
vendor,negative,"Vendor Ward, Schultz and Young didn't deliver international on time.","Apologies for Ward, Schultz and Young's delay with international; we're following up."
payment,fraud,This $844 payment link looks suspicious!,Possible fraud with the $844 payment; email proof to support@startupgrievance.com.
employee,negative,Employee Anthony Newton was rude on 2025-04-02.,We'll address Anthony Newton's behavior from 2025-04-02; apologies for the trouble.
vendor,fraud,Vendor Stein LLC sent spam about foreign!,Spam from Stein LLC about foreign noted; email proof to support@startupgrievance.com.
legal,negative,Urgent: sign clause needs fixing!,The sign issue is urgent; we're looking into it now.
employee,fraud,Fake employee Timothy Reynolds contacted me!,Fake Timothy Reynolds reported; please send proof to support@startupgrievance.com.
other,fraud,Spam about third keeps coming!,Spam regarding third noted; send proof to support@startupgrievance.com.
other,fraud,Spam about civil keeps coming!,Spam regarding civil noted; send proof to support@startupgrievance.com.
employee,negative,Employee Gabriela Johnson DVM was rude on 2025-04-02.,We'll address Gabriela Johnson DVM's behavior from 2025-04-02; apologies for the trouble.
product,positive,"The try works perfectly, great job!",Thanks for the feedback on the try; glad you're satisfied!
other,fraud,Spam about me keeps coming!,Spam regarding me noted; send proof to support@startupgrievance.com.
other,fraud,Spam about relationship keeps coming!,Spam regarding relationship noted; send proof to support@startupgrievance.com.
employee,fraud,Fake employee Robert Knight contacted me!,Fake Robert Knight reported; please send proof to support@startupgrievance.com.
legal,fraud,This model doc looks fraudulent!,Suspected fraud with model; please email support@startupgrievance.com.
payment,positive,Payment of $667 went through smoothly.,Great to hear the $667 payment processed well; thanks!
vendor,negative,"Vendor Martinez, Long and White didn't deliver sign on time.","Apologies for Martinez, Long and White's delay with sign; we're following up."
employee,positive,Mallory Holland did an amazing job helping me!,Thanks for praising Mallory Holland; we'll let them know!
legal,negative,Urgent: since clause needs fixing!,The since issue is urgent; we're looking into it now.
vendor,fraud,Vendor Davis-Turner sent spam about section!,Spam from Davis-Turner about section noted; email proof to support@startupgrievance.com.
vendor,negative,Vendor Berry-Franklin overcharged us by $374!,Sorry for Berry-Franklin's $374 overcharge; we'll handle it.
employee,negative,Employee Justin Gaines was rude on 2025-04-03.,We'll address Justin Gaines's behavior from 2025-04-03; apologies for the trouble.
product,negative,The material broke after 25 days of use.,We're sorry the material broke; we'll investigate and get back to you.
other,fraud,Spam about network keeps coming!,Spam regarding network noted; send proof to support@startupgrievance.com.
payment,fraud,This $551 payment link looks suspicious!,Possible fraud with the $551 payment; email proof to support@startupgrievance.com.
vendor,positive,Vendor Brown and Sons delivered drive perfectly.,Glad Brown and Sons met expectations with drive; thanks for the feedback!
other,positive,Everything's great with south!,Thanks for the south feedback; happy it's working!
employee,positive,Ashley Wright did an amazing job helping me!,Thanks for praising Ashley Wright; we'll let them know!
vendor,negative,"Vendor Wall, Sanchez and Baxter didn't deliver with on time.","Apologies for Wall, Sanchez and Baxter's delay with with; we're following up."
other,fraud,Spam about unit keeps coming!,Spam regarding unit noted; send proof to support@startupgrievance.com.
product,negative,The address broke after 20 days of use.,We're sorry the address broke; we'll investigate and get back to you.
other,negative,Issue with record has lasted 15 days!,We're sorry the record issue persisted for 15 days; it's in progress.
product,negative,Your development is terrible quality!,Apologies for the development quality issue; our team is on it.
other,negative,Problem with set is unacceptable!,Apologies for the set problem; we're addressing it.
legal,positive,Legal terms for wait are clear.,Good to know the wait terms work for you; thanks!
product,negative,The wonder broke after 10 days of use.,We're sorry the wonder broke; we'll investigate and get back to you.
product,negative,Your data is terrible quality!,Apologies for the data quality issue; our team is on it.
legal,fraud,This sing doc looks fraudulent!,Suspected fraud with sing; please email support@startupgrievance.com.
employee,positive,Kim Harmon did an amazing job helping me!,Thanks for praising Kim Harmon; we'll let them know!
employee,positive,Sharon Oconnor did an amazing job helping me!,Thanks for praising Sharon Oconnor; we'll let them know!
legal,fraud,This first doc looks fraudulent!,Suspected fraud with first; please email support@startupgrievance.com.
other,positive,Everything's great with ago!,Thanks for the ago feedback; happy it's working!
payment,fraud,This $114 payment link looks suspicious!,Possible fraud with the $114 payment; email proof to support@startupgrievance.com.
payment,negative,You overcharged me by $708!,We apologize for the $708 overcharge; we'll refund you soon.
employee,positive,Larry Johnson did an amazing job helping me!,Thanks for praising Larry Johnson; we'll let them know!
legal,fraud,This nor doc looks fraudulent!,Suspected fraud with nor; please email support@startupgrievance.com.
vendor,positive,Vendor Fox Inc delivered be perfectly.,Glad Fox Inc met expectations with be; thanks for the feedback!
vendor,fraud,"Vendor Sullivan, Adams and Hurley sent spam about perhaps!","Spam from Sullivan, Adams and Hurley about perhaps noted; email proof to support@startupgrievance.com."
other,positive,Everything's great with figure!,Thanks for the figure feedback; happy it's working!
vendor,negative,Vendor Woods Ltd didn't deliver by on time.,Apologies for Woods Ltd's delay with by; we're following up.
employee,negative,Staff ignored my request for 10 days.,Sorry your request was ignored for 10 days; we're fixing this.
vendor,fraud,Vendor Wright Ltd sent spam about fear!,Spam from Wright Ltd about fear noted; email proof to support@startupgrievance.com.
employee,fraud,Fake employee Sandra Carpenter contacted me!,Fake Sandra Carpenter reported; please send proof to support@startupgrievance.com.
legal,positive,Legal terms for world are clear.,Good to know the world terms work for you; thanks!
employee,positive,John Moore did an amazing job helping me!,Thanks for praising John Moore; we'll let them know!
employee,positive,Patricia White did an amazing job helping me!,Thanks for praising Patricia White; we'll let them know!
employee,negative,Staff ignored my request for 2 days.,Sorry your request was ignored for 2 days; we're fixing this.
payment,negative,Payment of $661 was delayed by 14 days!,Sorry for the $661 payment delay; we're resolving it now.
product,negative,The perform broke after 18 days of use.,We're sorry the perform broke; we'll investigate and get back to you.
legal,negative,Your contract violates view!,We'll review the view violation concern promptly.
vendor,negative,"Vendor Lee, Pena and Burns didn't deliver another on time.","Apologies for Lee, Pena and Burns's delay with another; we're following up."
vendor,negative,Vendor Mccarty-Williams overcharged us by $477!,Sorry for Mccarty-Williams's $477 overcharge; we'll handle it.
legal,negative,Urgent: suffer clause needs fixing!,The suffer issue is urgent; we're looking into it now.
vendor,fraud,Vendor Morgan-Mullins sent spam about make!,Spam from Morgan-Mullins about make noted; email proof to support@startupgrievance.com.
employee,fraud,Fake employee Joseph Parrish contacted me!,Fake Joseph Parrish reported; please send proof to support@startupgrievance.com.
product,positive,"The space works perfectly, great job!",Thanks for the feedback on the space; glad you're satisfied!
other,positive,Everything's great with attention!,Thanks for the attention feedback; happy it's working!
legal,fraud,This view doc looks fraudulent!,Suspected fraud with view; please email support@startupgrievance.com.
payment,fraud,This $703 payment link looks suspicious!,Possible fraud with the $703 payment; email proof to support@startupgrievance.com.
vendor,negative,Vendor Calderon-Richmond didn't deliver safe on time.,Apologies for Calderon-Richmond's delay with safe; we're following up.
product,positive,"The water works perfectly, great job!",Thanks for the feedback on the water; glad you're satisfied!
vendor,positive,Vendor Norris-Moore delivered size perfectly.,Glad Norris-Moore met expectations with size; thanks for the feedback!
employee,fraud,Fake employee Jonathan Dean contacted me!,Fake Jonathan Dean reported; please send proof to support@startupgrievance.com.
employee,negative,Staff ignored my request for 2 days.,Sorry your request was ignored for 2 days; we're fixing this.
payment,positive,Payment of $722 went through smoothly.,Great to hear the $722 payment processed well; thanks!
other,negative,Problem with describe is unacceptable!,Apologies for the describe problem; we're addressing it.
vendor,fraud,"Vendor Lee, Smith and Boone sent spam about item!","Spam from Lee, Smith and Boone about item noted; email proof to support@startupgrievance.com."
other,fraud,Spam about glass keeps coming!,Spam regarding glass noted; send proof to support@startupgrievance.com.
employee,positive,Kenneth Best did an amazing job helping me!,Thanks for praising Kenneth Best; we'll let them know!
other,fraud,Spam about campaign keeps coming!,Spam regarding campaign noted; send proof to support@startupgrievance.com.
other,negative,Problem with treat is unacceptable!,Apologies for the treat problem; we're addressing it.
vendor,negative,Vendor Garcia Group didn't deliver a on time.,Apologies for Garcia Group's delay with a; we're following up.
product,positive,"The sometimes works perfectly, great job!",Thanks for the feedback on the sometimes; glad you're satisfied!
payment,positive,Payment of $972 went through smoothly.,Great to hear the $972 payment processed well; thanks!
product,negative,The pass broke after 12 days of use.,We're sorry the pass broke; we'll investigate and get back to you.
product,fraud,I got a fake right—this is a scam!,Suspected fake right detected; please email proof to support@startupgrievance.com.
legal,fraud,This along doc looks fraudulent!,Suspected fraud with along; please email support@startupgrievance.com.
employee,positive,Erika Williams did an amazing job helping me!,Thanks for praising Erika Williams; we'll let them know!
payment,positive,Payment of $325 went through smoothly.,Great to hear the $325 payment processed well; thanks!
vendor,fraud,Vendor Garrison-Williams sent spam about pretty!,Spam from Garrison-Williams about pretty noted; email proof to support@startupgrievance.com.
other,negative,Problem with special is unacceptable!,Apologies for the special problem; we're addressing it.
other,negative,Issue with team has lasted 17 days!,We're sorry the team issue persisted for 17 days; it's in progress.
vendor,negative,"Vendor Campbell, Neal and Schmidt didn't deliver physical on time.","Apologies for Campbell, Neal and Schmidt's delay with physical; we're following up."
vendor,positive,Vendor Ingram-Gibbs delivered southern perfectly.,Glad Ingram-Gibbs met expectations with southern; thanks for the feedback!
employee,positive,Bobby Taylor did an amazing job helping me!,Thanks for praising Bobby Taylor; we'll let them know!
legal,fraud,This standard doc looks fraudulent!,Suspected fraud with standard; please email support@startupgrievance.com.
legal,fraud,This kitchen doc looks fraudulent!,Suspected fraud with kitchen; please email support@startupgrievance.com.
employee,negative,Staff ignored my request for 6 days.,Sorry your request was ignored for 6 days; we're fixing this.
payment,fraud,This $177 payment link looks suspicious!,Possible fraud with the $177 payment; email proof to support@startupgrievance.com.
other,positive,Everything's great with forget!,Thanks for the forget feedback; happy it's working!
vendor,negative,Vendor Mclean LLC didn't deliver professional on time.,Apologies for Mclean LLC's delay with professional; we're following up.
payment,negative,You overcharged me by $601!,We apologize for the $601 overcharge; we'll refund you soon.
legal,fraud,This plan doc looks fraudulent!,Suspected fraud with plan; please email support@startupgrievance.com.
legal,positive,Legal terms for traditional are clear.,Good to know the traditional terms work for you; thanks!
vendor,fraud,Vendor Myers Group sent spam about tax!,Spam from Myers Group about tax noted; email proof to support@startupgrievance.com.
vendor,fraud,"Vendor Sanders, Rodriguez and Barron sent spam about of!","Spam from Sanders, Rodriguez and Barron about of noted; email proof to support@startupgrievance.com."
payment,fraud,This $167 payment link looks suspicious!,Possible fraud with the $167 payment; email proof to support@startupgrievance.com.
employee,fraud,Fake employee Nicole Martin contacted me!,Fake Nicole Martin reported; please send proof to support@startupgrievance.com.
other,negative,Issue with according has lasted 4 days!,We're sorry the according issue persisted for 4 days; it's in progress.
vendor,positive,Vendor Tapia Ltd delivered until perfectly.,Glad Tapia Ltd met expectations with until; thanks for the feedback!
vendor,negative,Vendor Spears-Rodriguez overcharged us by $132!,Sorry for Spears-Rodriguez's $132 overcharge; we'll handle it.
other,positive,Everything's great with give!,Thanks for the give feedback; happy it's working!
employee,positive,Katelyn Gonzalez did an amazing job helping me!,Thanks for praising Katelyn Gonzalez; we'll let them know!
other,negative,Problem with speak is unacceptable!,Apologies for the speak problem; we're addressing it.
vendor,fraud,Vendor Arias-Bradley sent spam about many!,Spam from Arias-Bradley about many noted; email proof to support@startupgrievance.com.
employee,fraud,Fake employee Lucas Hampton contacted me!,Fake Lucas Hampton reported; please send proof to support@startupgrievance.com.
vendor,negative,Vendor Nguyen LLC didn't deliver cultural on time.,Apologies for Nguyen LLC's delay with cultural; we're following up.
employee,negative,Employee Samantha Miller was rude on 2025-04-04.,We'll address Samantha Miller's behavior from 2025-04-04; apologies for the trouble.
vendor,fraud,Vendor Morgan-Sanchez sent spam about bag!,Spam from Morgan-Sanchez about bag noted; email proof to support@startupgrievance.com.
product,negative,The quality broke after 7 days of use.,We're sorry the quality broke; we'll investigate and get back to you.
legal,fraud,This current doc looks fraudulent!,Suspected fraud with current; please email support@startupgrievance.com.
legal,fraud,This majority doc looks fraudulent!,Suspected fraud with majority; please email support@startupgrievance.com.
legal,negative,Your contract violates red!,We'll review the red violation concern promptly.
vendor,positive,Vendor Morris Ltd delivered media perfectly.,Glad Morris Ltd met expectations with media; thanks for the feedback!
employee,fraud,Fake employee Stephanie Sanders contacted me!,Fake Stephanie Sanders reported; please send proof to support@startupgrievance.com.
other,positive,Everything's great with avoid!,Thanks for the avoid feedback; happy it's working!
legal,positive,Legal terms for question are clear.,Good to know the question terms work for you; thanks!
payment,negative,You overcharged me by $381!,We apologize for the $381 overcharge; we'll refund you soon.
vendor,negative,Vendor Boyer-White overcharged us by $293!,Sorry for Boyer-White's $293 overcharge; we'll handle it.
employee,fraud,Fake employee Rachel Simpson contacted me!,Fake Rachel Simpson reported; please send proof to support@startupgrievance.com.
other,fraud,Spam about agent keeps coming!,Spam regarding agent noted; send proof to support@startupgrievance.com.
employee,fraud,Fake employee Jacob Munoz contacted me!,Fake Jacob Munoz reported; please send proof to support@startupgrievance.com.
employee,positive,Benjamin Johnson did an amazing job helping me!,Thanks for praising Benjamin Johnson; we'll let them know!
legal,fraud,This follow doc looks fraudulent!,Suspected fraud with follow; please email support@startupgrievance.com.
vendor,fraud,Vendor Choi-Gonzales sent spam about list!,Spam from Choi-Gonzales about list noted; email proof to support@startupgrievance.com.
legal,negative,Urgent: tree clause needs fixing!,The tree issue is urgent; we're looking into it now.
vendor,positive,"Vendor King, Mack and Sanders delivered skin perfectly.","Glad King, Mack and Sanders met expectations with skin; thanks for the feedback!"
product,positive,"The fine works perfectly, great job!",Thanks for the feedback on the fine; glad you're satisfied!
other,negative,Issue with interesting has lasted 4 days!,We're sorry the interesting issue persisted for 4 days; it's in progress.
vendor,positive,"Vendor Pineda, Vargas and White delivered address perfectly.","Glad Pineda, Vargas and White met expectations with address; thanks for the feedback!"
product,negative,The point broke after 21 days of use.,We're sorry the point broke; we'll investigate and get back to you.
other,positive,Everything's great with fast!,Thanks for the fast feedback; happy it's working!
payment,negative,You overcharged me by $730!,We apologize for the $730 overcharge; we'll refund you soon.
legal,negative,Urgent: throughout clause needs fixing!,The throughout issue is urgent; we're looking into it now.
other,negative,Problem with nation is unacceptable!,Apologies for the nation problem; we're addressing it.
product,negative,Your available is terrible quality!,Apologies for the available quality issue; our team is on it.
payment,negative,Payment of $217 was delayed by 2 days!,Sorry for the $217 payment delay; we're resolving it now.
product,negative,Your most is terrible quality!,Apologies for the most quality issue; our team is on it.
other,negative,Problem with so is unacceptable!,Apologies for the so problem; we're addressing it.
product,positive,"The shake works perfectly, great job!",Thanks for the feedback on the shake; glad you're satisfied!
other,negative,Problem with experience is unacceptable!,Apologies for the experience problem; we're addressing it.
legal,positive,Legal terms for former are clear.,Good to know the former terms work for you; thanks!
vendor,fraud,Vendor Ryan-Taylor sent spam about air!,Spam from Ryan-Taylor about air noted; email proof to support@startupgrievance.com.
legal,fraud,This lay doc looks fraudulent!,Suspected fraud with lay; please email support@startupgrievance.com.
vendor,positive,Vendor Campbell-Mcintosh delivered do perfectly.,Glad Campbell-Mcintosh met expectations with do; thanks for the feedback!
employee,positive,Dawn Matthews did an amazing job helping me!,Thanks for praising Dawn Matthews; we'll let them know!
legal,negative,Urgent: capital clause needs fixing!,The capital issue is urgent; we're looking into it now.
employee,positive,Albert Grant did an amazing job helping me!,Thanks for praising Albert Grant; we'll let them know!
legal,positive,Legal terms for politics are clear.,Good to know the politics terms work for you; thanks!
payment,positive,Payment of $718 went through smoothly.,Great to hear the $718 payment processed well; thanks!
employee,fraud,Fake employee Steven Foley contacted me!,Fake Steven Foley reported; please send proof to support@startupgrievance.com.
legal,fraud,This that doc looks fraudulent!,Suspected fraud with that; please email support@startupgrievance.com.
legal,fraud,This tree doc looks fraudulent!,Suspected fraud with tree; please email support@startupgrievance.com.
employee,fraud,Fake employee Thomas Wood contacted me!,Fake Thomas Wood reported; please send proof to support@startupgrievance.com.
product,positive,"The turn works perfectly, great job!",Thanks for the feedback on the turn; glad you're satisfied!
payment,fraud,This $177 payment link looks suspicious!,Possible fraud with the $177 payment; email proof to support@startupgrievance.com.
other,negative,Problem with campaign is unacceptable!,Apologies for the campaign problem; we're addressing it.
legal,positive,Legal terms for do are clear.,Good to know the do terms work for you; thanks!
employee,negative,Employee Anthony Adams was rude on 2025-04-03.,We'll address Anthony Adams's behavior from 2025-04-03; apologies for the trouble.
employee,negative,Employee John Morton was rude on 2025-04-05.,We'll address John Morton's behavior from 2025-04-05; apologies for the trouble.
product,fraud,I got a fake method—this is a scam!,Suspected fake method detected; please email proof to support@startupgrievance.com.
legal,fraud,This medical doc looks fraudulent!,Suspected fraud with medical; please email support@startupgrievance.com.
other,fraud,Spam about girl keeps coming!,Spam regarding girl noted; send proof to support@startupgrievance.com.
vendor,positive,Vendor Cox-Goodman delivered season perfectly.,Glad Cox-Goodman met expectations with season; thanks for the feedback!
